Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
443,Ryan Malleck\MallRy02,HOU,24,,2,0,1,1,100.0%,3,3.0,0,3,0.5,1.5,0
444,Max McCaffrey\McCaMa01,JAX,23,,5,0,1,1,100.0%,4,4.0,0,4,0.2,0.8,0
445,Brian Mihalik\MihaBr00,DET,25,t,15,2,1,1,100.0%,-4,-4.0,0,-4,0.1,-0.3,0
446,Ifeanyi Momah\MomaIf00,ARI,28,te,9,2,2,1,50.0%,46,46.0,0,46,0.1,5.1,0
447,Charone Peake\PeakCh00,NYJ,25,,3,0,1,1,100.0%,3,3.0,0,3,0.3,1.0,0
448,Senorise Perry\PerrSe00,MIA,26,,16,0,1,1,100.0%,3,3.0,0,3,0.1,0.2,0
449,Larry Pinkard\PinkLa00,JAX,25,,4,0,1,1,100.0%,5,5.0,0,5,0.3,1.3,0
450,Kalif Raymond\RaymKa00,2TM,23,,8,0,1,1,100.0%,12,12.0,0,12,0.1,1.5,5
451,Andre Roberts\RobeAn00,ATL,29,,16,0,4,1,25.0%,12,12.0,0,12,0.1,0.8,4
452,Allen Robinson\RobiAl02,JAX,24,wr,1,1,1,1,100.0%,17,17.0,0,17,1.0,17.0,0
453,Eric Weems\WeemEr00,TEN,32,,16,0,2,1,50.0%,5,5.0,0,5,0.1,0.3,0
454,Leonard Wester\WestLe00,TAM,24,,8,0,1,1,100.0%,2,2.0,1,2,0.1,0.3,0
455,DeAndrew White\WhitDe01,HOU,26,wr,2,1,7,1,14.3%,24,24.0,0,24,0.5,12.0,1
456,Marcus Williams\WillMa03,2TM,26,,15,0,1,1,100.0%,31,31.0,0,31,0.1,2.1,0
457,Jesus Wilson\WilsJe00,TAM,22,wr,3,1,1,1,100.0%,18,18.0,1,18,0.3,6.0,0
458,Kevin Zeitler\ZeitKe00,CLE,27,RG,16,16,1,1,100.0%,-4,-4.0,0,-4,0.1,-0.3,0
